;#REF!;#REF!;#REF!;#REF!;;;;#REF!;
;;-42 Kč;;;;Sekaná v Bulce (Sklizeno, Joštova);;;Stravování
;;-130 Kč;;;;Vánoční balící papíry (Drogerie);;;Věnovaný dárek
23.12.2015;;-42 Kč;;;;6x Fotografie (Foto, Kaufland);;;Věnovaný dárek
;;-14 Kč;;;;6x Rohlík (Pekařství, Běloruská);;;Stravování
;;-45 Kč;;;;"Kočičí ""Šibátko"" (Veterina, Jihlavská)";;;Jednorázový výdaj
;;-85 Kč;;;;Steak, hranolky (Leguana);;;Stravování
24.12.2015;;4 000 Kč;;;;K Vánocům od Rodiny;;;Příjmutý dárek
26.12.2051;-3 845 Kč;;;;;"3x Lístek ""Iron Maiden"" (Ticket Portal)";;;Věnovaný dárek
;-530 Kč;;;;;Měsíční Paušál za Mobilní Telefon (O2);;;Telefon
;;-180 Kč;;;;Pizza Quattro Stagioni (LaPatas);;;Restaurace
27.12.2015;;-7 500 Kč;;;;Půjčka na Playstation 4 (Pokorní);;;Půjčení peněz
28.12.2015;;-85 Kč;;;;Hamburger, hranolky (Heligonka);;;Stravování
;;-15 Kč;;;;Croissant (Pekařství, Běloruská);;;Stravování
;;-85 Kč;;;;Kuřecí řízek, brambor (Mamut Pub);;;Stravování
;;-50 Kč;;;;Šunková bageta (Sklizeno, Impact Hub Brno);;;Stravování
;-8 600 Kč;8 600 Kč;;;;převod peněz na budoucí použití;;;Nezařezené
;-9 Kč;;;;;poplatek za dotaz na zůstatek (KB - studentský účet);;;Bankovní poplatek
;;-6 555 Kč;;;;SIPO za Byt Uzbecká 14 (Česká Pošta);;;Bydlení
29.12.2015;-1 094 Kč;;;;;"Potraviny, Alkohol na ""Silvestr"" (Tesco, Vídeňská)";;;Stravování
;-8 600 Kč;8 600 Kč;;;;převod peněz na budoucí použití;;;Nezařezené
;-9 Kč;;;;;poplatek za dotaz na zůstatek (KB - studentský účet);;;Bankovní poplatek
31.12.2015;-68 Kč;;;;;poplatek vedení účtu (KB - studentský účet);;;Bankovní poplatek
;-102 Kč;;;;;poplatek za položky (KB - studentský účet);;;Bankovní poplatek
;;-535 Kč;;;;"Nákup na ""Silvestr 2015"" (Kaufland)";;;Stravování
